Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL139193,,None,264.32,0,2.42,TWZ 105,O=CN(O)CCCCCCC(=O)Nc1ccccc1,IC50,'=',11000,nM,4.96,,,UO_0000065,18.76,0.36,2.54,7.12,0,CHEMBL697297,Inhibition of Histone deacetylase 2 (HDAC2) activity of HeLa nuclear extracts,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1137945,1,Scientific Literature,Bioorg Med Chem Lett,2004,None,,,,11
CHEMBL2323289,,None,604.8,2,4.04,4,CCCCCCCC(=O)SCC/C=C/[C@@H]1CC(=O)NCc2nc(cs2)-c2cn(nn2)CC(=O)N[C@@H](C(C)C)C(=O)O1,IC50,'=',32100,nM,4.49,,,UO_0000065,7.43,0.15,0.45,3.1,0,CHEMBL2328538,Inhibition of C-terminal His-tagged full length human recombinant HDAC2 expressed in baculovirus expression system using fluorogenic acetylated peptide as substrate preincubated with enzyme for 10 mins prior to substrate addition measured after 60 mins by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2321647,1,Scientific Literature,ACS Med Chem Lett,2013,None,,,,32.1
CHEMBL1093033,,None,449.57,1,5.5,32,CC(C)(C)c1[nH]c2ccccc2c1[C@H]1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2F)C1,IC50,'=',31,nM,7.51,,,UO_0000065,16.7,0.31,2.01,10.98,0,CHEMBL1111713,Inhibition of HDAC2 expressed in baculovirus system by fluorescent assay,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1156307,1,Scientific Literature,J Med Chem,2010,None,,,,31
CHEMBL1093335,,None,449.57,1,5.5,33,CC(C)(C)c1[nH]c2ccccc2c1[C@@H]1CCCN(Cc2ccc(/C=C/C(=O)NO)cc2F)C1,IC50,'=',48,nM,7.32,,,UO_0000065,16.28,0.3,1.82,10.71,0,CHEMBL1111713,Inhibition of HDAC2 expressed in baculovirus system by fluorescent assay,B,BAO_0000019,assay format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1156307,1,Scientific Literature,J Med Chem,2010,None,,,,48
CHEMBL3356924,,None,391.54,0,2.53,88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3356922,,None,377.51,0,2.19,86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL2048746,,None,342.38,0,2.4,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL430060,APICIDIN,None,623.8,1,3.07,1,CCC(=O)CCCCC[C@@H]1NC(=O)[C@H]2CCCCN2C(=O)[C@H]([C@@H](C)CC)NC(=O)[C@H](Cc2cn(OC)c3ccccc23)NC1=O,IC50,'=',34,nM,7.47,,,UO_0000065,11.97,0.23,4.4,5.38,0,CHEMBL2174389,Inhibition of human recombinant HDAC2 using Ac-Lys(Ac)-7-amino-4-methylcoumarin as substrate after 30 mins by trypsin-coupled fluorogenic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2169795,1,Scientific Literature,ACS Med Chem Lett,2012,None,,,,34
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,'=',90,nM,7.05,,,UO_0000065,26.66,0.51,4.58,8.98,0,CHEMBL2387804,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2384983,1,Scientific Literature,Bioorg Med Chem Lett,2013,None,,,,0.09
CHEMBL3335283,,None,349.43,0,3.82,5,O=C(CCCCc1ccn(Cc2cccc(-c3ccccc3)c2)n1)NO,IC50,'=',397,nM,6.4,,,UO_0000065,18.32,0.34,2.58,9.53,0,CHEMBL3388839,Inhibition of human recombinant HDAC2 after 60 mins by fluorimetric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3352093,1,Scientific Literature,Eur J Med Chem,2014,None,,,,0.397
CHEMBL2407719,,None,418.52,0,4.16,24c,Nc1ccccc1NC(=O)c1ccc(CNC2=N[C@@H](c3ccc(O)cc3)CS2)cc1,IC50,'=',44,nM,7.36,,,UO_0000065,17.58,0.33,3.2,7.38,0,CHEMBL2410098,Inhibition of recombinant His-tagged HDAC2 (1 to 488) (unknown origin) using MAL as substrate incubated for 3 hrs prior to substrate addition measured after 60 mins by fluorescence plate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL2407081,1,Scientific Literature,J Med Chem,2013,None,,,,0.044
CHEMBL5274036,,None,439.47,0,4.07,157,O=C(NO)c1ccc(NC(=O)[C@@H](NC(=O)c2ccc3ccccc3c2)c2ccccc2)cc1,IC50,'=',243.5,nM,6.61,,,UO_0000065,15.05,0.27,2.54,6.15,0,CHEMBL5234186,Inhibition of human HDAC2 using fluorogenic as substrate measured after 30 mins by fluorescence based analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5233233,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.5 hr,INHIBITOR,,243.5
CHEMBL5266615,,None,210.25,0,1.86,211,CCCCNNC(=O)c1ccc(F)cc1,IC50,'=',15100,nM,4.82,,,UO_0000065,22.93,0.44,2.96,11.72,0,CHEMBL5234201,Inhibition of HDAC2 (unknown origin) using acetylated 7-amino-4-methylcoumarin (AMC) as peptide substrate measured after 20 mins by fluorescence based analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5233233,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.3333 hr,INHIBITOR,,15100
CHEMBL5284583,,None,299.21,0,3.26,218,CCCCCCNNC(=O)c1ccc(Br)cc1,IC50,'=',16110,nM,4.79,,,UO_0000065,16.02,0.39,1.53,11.65,0,CHEMBL5234201,Inhibition of HDAC2 (unknown origin) using acetylated 7-amino-4-methylcoumarin (AMC) as peptide substrate measured after 20 mins by fluorescence based analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5233233,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.3333 hr,INHIBITOR,,16110
CHEMBL5280540,,None,311.22,0,3.26,220,O=C(NNCCC1CCCC1)c1ccc(Br)cc1,IC50,'=',7650,nM,5.12,,,UO_0000065,16.44,0.39,1.86,12.44,0,CHEMBL5234201,Inhibition of HDAC2 (unknown origin) using acetylated 7-amino-4-methylcoumarin (AMC) as peptide substrate measured after 20 mins by fluorescence based analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5233233,1,Scientific Literature,Eur J Med Chem,2020,None,TIME = 0.3333 hr,INHIBITOR,,7650
CHEMBL5177475,,None,420.38,0,2.96,5a; NN-390,CC(C)N(Cc1ccc(C(=O)NO)cc1)S(=O)(=O)c1cc(F)c(F)c(F)c1F,IC50,'=',316,nM,6.5,,,UO_0000065,15.46,0.32,3.54,7.5,0,CHEMBL5158350,Inhibition of full length human recombinant HDAC2 expressed in Sf9 baculovirus system using FAM-labeled acetylated peptide as substrate by measuring fluorescence intensity by EMSA method,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5154721,1,Scientific Literature,J Med Chem,2022,None,,INHIBITOR,,0.316
CHEMBL4749146,,None,407.56,0,3.6,1,O=C(NO)c1ccc(CCCN2CCC(CN[C@H]3C[C@@H]3c3ccccc3)CC2)cc1,IC50,'=',3950,nM,5.4,,,UO_0000065,13.26,0.25,1.8,8.36,0,CHEMBL4724386,Inhibition of human HDAC2 using RHKKAc as substrate by fluorescence method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4715885,1,Scientific Literature,Bioorg Med Chem Lett,2021,None,,INHIBITOR,,3950
CHEMBL1771315,,None,283.29,0,1.57,A12B4,O=C(NO)c1cccc(C(=O)N/N=C/c2ccccc2)c1,IC50,'=',20000,nM,4.7,,,UO_0000065,16.59,0.31,3.13,5.18,0,CHEMBL1772082,Inhibition of full length HDAC2 assessed as 7-amino-4-methylcoumarin release from fluorophore conjugated substrate after 5 mins by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1770095,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,,,20
CHEMBL3947997,,None,518.68,1,4.41,31,N[C@@H](Cc1ccccc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCNC(=O)CS)cc1,IC50,'>',30000,nM,,,,UO_0000065,,,,,0,CHEMBL5226444,Inhibition of human HDAC2 using FAM-labeled acetylated peptide as substrate incubated for 17 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5226279,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 17.0 hr,,,30
CHEMBL5424768,,None,429.53,0,2.99,22,Cc1cc(C)nc(SCC(=O)Nc2ncc(Cc3ccc(C(=O)NO)cc3)s2)n1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL5374955,Inhibition of full length C-terminal FLAG-tagged human recombinant HDAC2 (1 to 488 residues) expressed in Sf9 cells using ZMAL as fluorogenic substrate incubated for 90 mins by microplate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5370658,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.5 hr,,,
CHEMBL5438435,,None,306.41,0,3.12,57,CCCCC(=O)N(CCCC)Cc1ccc(C(=O)NO)cc1,IC50,'=',4700,nM,5.33,,,UO_0000065,17.39,0.33,2.21,7.65,0,CHEMBL5374955,Inhibition of full length C-terminal FLAG-tagged human recombinant HDAC2 (1 to 488 residues) expressed in Sf9 cells using ZMAL as fluorogenic substrate incubated for 90 mins by microplate reader analysis,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5370658,1,Scientific Literature,J Med Chem,2023,None,TIME = 1.5 hr,INHIBITOR,,4.7
CHEMBL483494,,None,439.49,0,3.92,6b,O=C(CCCCCCC(=O)Nc1ccc(-c2cn(Cc3ccc(F)cc3)nn2)cc1)NO,IC50,'=',294,nM,6.53,,,UO_0000065,14.86,0.28,2.61,5.98,0,CHEMBL954936,Inhibition of HDAC2,B,BAO_0000357,single protein format,None,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1150413,1,Scientific Literature,J Med Chem,2008,None,,,,294
CHEMBL5081353,,None,351.41,0,2.14,11k,CCCNNC(=O)c1ccc(CNC(=O)c2nc3ccccc3[nH]2)cc1,IC50,'=',33.39,nM,7.48,,,UO_0000065,21.28,0.39,5.34,7.56,0,CHEMBL5043886,Inhibition of human recombinant HDAC2 using Boc-Lys(acetyl)-AMC substrate incubated for 2 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5042504,1,Scientific Literature,J Med Chem,2022,None,TIME = 2.0 hr,INHIBITOR,,33.39
CHEMBL5086141,,None,367.4,0,2.71,11m,CCCNNC(=O)c1ccc(CNC(=O)c2cc3cc(O)ccc3o2)cc1,IC50,'=',16.06,nM,7.79,,,UO_0000065,21.21,0.39,5.08,7.52,0,CHEMBL5043886,Inhibition of human recombinant HDAC2 using Boc-Lys(acetyl)-AMC substrate incubated for 2 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5042504,1,Scientific Literature,J Med Chem,2022,None,TIME = 2.0 hr,INHIBITOR,,16.06
CHEMBL3938429,,None,468.62,0,3.59,32,O=C(CS)NCCCCCC(=O)Nc1ccc(-c2ccccc2NC(=O)[C@@H]2CCCN2)cc1,IC50,'=',12500,nM,4.9,,,UO_0000065,10.46,0.2,1.31,4.94,0,CHEMBL5226444,Inhibition of human HDAC2 using FAM-labeled acetylated peptide as substrate incubated for 17 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5226279,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 17.0 hr,INHIBITOR,,12.5
CHEMBL3919705,,None,557.72,2,4.89,33,N[C@@H](Cc1c[nH]c2ccccc12)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCNC(=O)CS)cc1,IC50,'>',30000,nM,,,,UO_0000065,,,,,0,CHEMBL5226444,Inhibition of human HDAC2 using FAM-labeled acetylated peptide as substrate incubated for 17 hrs by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5226279,1,Scientific Literature,Eur J Med Chem,2021,None,TIME = 17.0 hr,,,30
CHEMBL248796,,None,384.48,0,3.97,7g,Cc1ccc(COC(CCCCCC(=O)NO)C(=O)Nc2ccccc2)cc1,IC50,'>=',50,nM,,,,UO_0000065,,,,,0,CHEMBL925482,Inhibition of HDAC2 in HeLa cell lysates,B,BAO_0000357,single protein format,Homo sapiens,None,None,HeLa,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1140532,1,Scientific Literature,Bioorg Med Chem Lett,2007,CHEMBL3308376,,,,0.05
CHEMBL5181479,,None,194.22,0,0.64,HY-5,C#Cc1nc(/C=C/C(=O)NO)cs1,IC50,'=',1700,nM,5.77,,,UO_0000065,29.71,0.61,5.13,9.27,0,CHEMBL5099594,Inhibition of full length C-terminal his6-tagged human recombinant HDAC2 (1 to 488 residues),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5096224,1,Scientific Literature,J Med Chem,2022,None,,INHIBITOR,,1700
CHEMBL5184034,,None,347.46,0,3.82,35f,CCNNC(=O)c1ccc(Cn2c3c(c4ccccc42)CCCC3)cc1,IC50,'>',5000,nM,,,,UO_0000065,,,,,0,CHEMBL5119735,Inhibition of recombinant HDAC2 (unknown origin) using Boc-Lys(acetyl)-AMC as substrate preincubated for 1 hr followed by substrate addition and measured after 2 hrs by fluorescence based microplate reader analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5113527,1,Scientific Literature,J Med Chem,2022,None,TIME = 3.0 hr,,,5
CHEMBL481018,,None,423.42,0,3.65,7f,O=C(NO)c1ccc(CN2c3ccccc3NC(=O)[C@H]2Cc2ccc(F)c(F)c2)cc1,IC50,'=',460,nM,6.34,,,UO_0000065,14.97,0.28,2.69,7.76,0,CHEMBL991290,Inhibition of human recombinant histone deacetylase 2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1143301,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,,,0.46
CHEMBL4761973,,None,529.69,1,4.65,Cpd X,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc3nn(C)cc3c2)nc1C#N,IC50,'=',2.1,nM,8.68,,,UO_0000065,16.38,0.3,4.03,7.25,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,2.1
CHEMBL4796175,,None,472.56,0,3.83,Cpd G,CCC(=O)CCCCC[C@H](NC(=O)C1CCOCC1)c1[nH]c(-c2ccc(F)cc2)nc1C(N)=O,IC50,'=',73.8,nM,7.13,,,UO_0000065,15.09,0.29,3.3,5.61,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,73.8
CHEMBL4531117,,None,357.41,0,3.66,7d,O=C(/C=C/c1cccnc1)NCc1ccc(C(=O)Nc2ccccc2)cc1,IC50,'>',100000,nM,,,,UO_0000065,,,,,0,CHEMBL4338810,Inhibition of recombinant human C-terminal His-tagged HDAC2 expressed in baculovirus expression system using Ac-peptide as substrate incubated for 60 mins by fluorometric method,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4334541,1,Scientific Literature,ACS Med Chem Lett,2020,None,,,,100
CHEMBL4759693,,None,540.71,2,5.62,Cpd V,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1[nH]c(-c2ccc3nc(C)ccc3c2)nc1C#N,IC50,'=',1.5,nM,8.82,,,UO_0000065,16.32,0.3,3.2,7.69,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,1.5
CHEMBL4759472,,None,507.65,2,5.3,Cpd P,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1[nH]c(-c2ccc(F)cc2)nc1C#N,IC50,'=',11.7,nM,7.93,,,UO_0000065,15.62,0.29,2.63,7.79,0,CHEMBL4669387,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4665726,1,Scientific Literature,Bioorg Med Chem Lett,2020,None,,INHIBITOR,,11.7
CHEMBL3655951,,None,340.31,0,2.96,BDBM139296,CC(C)(Nc1ncc(C(=O)NO)cn1)c1ccc(C(F)(F)F)cc1,IC50,'=',1015,nM,5.99,,274364,UO_0000065,17.61,0.34,3.03,6.88,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3655944,,None,258.28,0,1.77,BDBM139285,C[C@@H](Nc1ncc(C(=O)NO)cn1)c1ccccc1,IC50,'=',39,nM,7.41,,274356,UO_0000065,28.69,0.53,5.64,8.5,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3655954,,None,246.23,0,0,BDBM139299,O=C(NO)c1cnc(NCc2cnccn2)nc1,IC50,'=',340,nM,6.47,,274367,UO_0000065,26.27,0.49,None,5.73,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3621294,,None,396.45,0,3.29,6,O=C(CCCCCCC(=O)Nc1ccc2c(c1)/C(=C/c1ccc[nH]1)C(=O)N2)NO,IC50,'=',1.11,nM,8.96,,,UO_0000065,22.59,0.42,5.66,7.26,0,CHEMBL3626709,Inhibition of HDAC2 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3621077,1,Scientific Literature,Medchemcomm,2014,None,,,,1.11
CHEMBL3655938,,None,320.35,0,2.87,BDBM139279,O=C(NO)c1cnc(NCc2ccccc2-c2ccccc2)nc1,IC50,'=',587,nM,6.23,,274347,UO_0000065,19.45,0.35,3.36,7.15,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3655912,,None,315.33,0,1.18,BDBM139253,O=C(NO)c1cnc(Nc2cccc(N3CCOCC3)c2)nc1,IC50,'=',808,nM,6.09,,274321,UO_0000065,19.32,0.36,4.91,6.12,0,CHEMBL3707557,Enzyme Assay: Compounds for testing were diluted in DMSO to 50 fold the final concentration and a ten point three fold dilution series was made. The compounds were diluted in assay buffer (50 mM HEPES,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL227170,,None,518.61,2,4.35,9,N[C@@H](Cc1ccc(O)cc1)C(=O)Nc1ccccc1-c1ccc(NC(=O)CCCCCCC(=O)NO)cc1,IC50,'=',205,nM,6.69,,,UO_0000065,12.9,0.24,2.34,4.35,0,CHEMBL889422,Inhibition of His-tagged HDAC2 expressed in Sf9 cells by fluorescence-based assay,B,BAO_0000219,cell-based format,None,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145385,1,Scientific Literature,J Med Chem,2007,CHEMBL3308860,,,,205
CHEMBL440018,,None,337.49,0,2.09,7,CN(C)c1ccc(C(=O)NCCCCCCNC(=O)CS)cc1,IC50,'=',4640,nM,5.33,,,UO_0000065,15.8,0.32,3.24,8.68,0,CHEMBL889422,Inhibition of His-tagged HDAC2 expressed in Sf9 cells by fluorescence-based assay,B,BAO_0000219,cell-based format,None,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL1145385,1,Scientific Literature,J Med Chem,2007,CHEMBL3308860,,,,4640
CHEMBL4524784,,None,640.87,2,5.33,42aS,CCCCCCCC(=O)SCC/C=C(\F)[C@@H]1CC(=O)NCc2nc(cs2)C2=N[C@@](C)(CS2)C(=O)N[C@@H](C(C)C)C(=O)O1,IC50,'=',1817,nM,5.74,,,UO_0000065,8.96,0.19,0.41,4.53,0,CHEMBL4363857,Inhibition of recombinant full length human HDAC2 expressed in baculovirus infected Sf9 cells using Ac-peptide-AMC as substrate preincubated for 15 mins followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4359920,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,1817
CHEMBL4864510,,None,545.73,2,5.84,181,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3cccnc3cc2OC)[nH]1,IC50,'<',1.5,nM,,,,UO_0000065,,,,,0,CHEMBL4828008,Inhibition of human recombinant FLAG-tagged HDAC2 expressed in Sf9 cells incubated for 30 mins by Fluor De Lys assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4825740,1,Scientific Literature,ACS Med Chem Lett,2021,None,TIME = 0.5 hr,INHIBITOR,,1.5
CHEMBL3233711,,None,489.96,0,4.76,27c,O=C(/C=C/c1cccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccc(Cl)cc2)c1)NO,IC50,'=',498.5,nM,6.3,,,UO_0000065,12.86,0.25,1.54,6.09,0,CHEMBL3240668,Inhibition of HDAC2 (unknown origin) using Boc-Lys(acetyl)-AMC as substrate after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3232921,1,Scientific Literature,J Med Chem,2014,None,,,,498.5
CHEMBL3233687,,None,455.51,0,4.11,11e,O=C(/C=C/c1ccc(OC[C@H](Cc2c[nH]c3ccccc23)NC(=O)c2ccccc2)cc1)NO,IC50,'=',535.5,nM,6.27,,,UO_0000065,13.77,0.25,2.16,6.06,0,CHEMBL3240668,Inhibition of HDAC2 (unknown origin) using Boc-Lys(acetyl)-AMC as substrate after 30 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL3232921,1,Scientific Literature,J Med Chem,2014,None,,,,535.5
CHEMBL4282111,,None,279.34,0,2.05,47,Nc1ccccc1NC(=O)CCCCCCC(=O)NO,IC50,'=',101,nM,7,,,UO_0000065,25.04,0.48,4.95,6.7,0,CHEMBL5234178,Inhibition of human recombinant HDAC2 using Fluor-de-Lys as substrate at 50 uM for 30 mins by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5233233,1,Scientific Literature,Eur J Med Chem,2020,None,DOSE = 50.0 microM | TIME = 0.5 hr,INHIBITOR,,101
