Molecule ChEMBL ID,Molecule Name,Molecule Max Phase,Molecular Weight,#RO5 Violations,AlogP,Compound Key,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,pChEMBL Value,Data Validity Comment,Comment,Uo Units,Ligand Efficiency BEI,Ligand Efficiency LE,Ligand Efficiency LLE,Ligand Efficiency SEI,Potential Duplicate,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Assay Parameters,Assay Variant Accession,Assay Variant Mutation,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type,Standard Text Value,Value
CHEMBL4856631,,None,531.7,1,4.75,17,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2ccc3c(=O)n(C)ccc3c2)[nH]1,IC50,'=',1.6,nM,8.8,,,UO_0000065,16.54,0.31,4.05,8.79,0,CHEMBL5215550,Inhibition of human full length FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using BML-KI104 as substrate preincubated for 3 hrs followed by substrate addition measured after 60 mins by modified FLUOR DE LYS assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5214898,1,Scientific Literature,J Med Chem,2021,None,TIME = 4.0 hr,INHIBITOR,,1.6
CHEMBL5219409,,None,545.73,2,5.76,30,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(C)CC2)c1ncc(-c2cc3ccc(C)nc3cc2OC)[nH]1,IC50,'<',1.5,nM,,,,UO_0000065,,,,,0,CHEMBL5215550,Inhibition of human full length FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using BML-KI104 as substrate preincubated for 3 hrs followed by substrate addition measured after 60 mins by modified FLUOR DE LYS assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5214898,1,Scientific Literature,J Med Chem,2021,None,TIME = 4.0 hr,INHIBITOR,,1.5
CHEMBL5220576,,None,546.72,2,5.24,40,CCC(=O)CCCCC[C@H](NC(=O)[C@H]1CC12CCN(CC)CC2)c1ncc(-c2cc3nccnc3cc2OC)[nH]1,IC50,'=',16,nM,7.8,,,UO_0000065,14.26,0.27,2.56,6.89,0,CHEMBL5215550,Inhibition of human full length FLAG-tagged HDAC2 expressed in baculovirus infected Sf9 cells using BML-KI104 as substrate preincubated for 3 hrs followed by substrate addition measured after 60 mins by modified FLUOR DE LYS assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL5214898,1,Scientific Literature,J Med Chem,2021,None,TIME = 4.0 hr,INHIBITOR,,16
CHEMBL98,VORINOSTAT,4,264.32,0,2.47,SAHA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL4849689,,None,612.77,2,7.18,9h,COc1cc2c(NCC3CCC(c4ccc(C(=O)NO)cc4)CC3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4835057,Inhibition of full length human C-terminal His-tagged HDAC2 using fluorogenic acetylated peptide as substrate incubated for 30 mins by fluorescence plate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,TIME = 0.5 hr,,,
CHEMBL4850038,,None,612.77,2,7.07,9j-cis,COc1cc2c(NCc3ccc([C@H]4CC[C@@H](C(=O)NO)CC4)cc3)cc(-c3ccc(C)o3)nc2cc1OCCCN1CCCC1,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4835057,Inhibition of full length human C-terminal His-tagged HDAC2 using fluorogenic acetylated peptide as substrate incubated for 30 mins by fluorescence plate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,TIME = 0.5 hr,,,
CHEMBL4863394,,None,433.46,0,4.55,12d,COc1cc2nc(-c3ccc(C)o3)cc(NCc3ccc(C(=O)NO)cc3)c2cc1OC,IC50,'=',91,nM,7.04,,,UO_0000065,16.24,0.3,2.49,6.65,0,CHEMBL4835057,Inhibition of full length human C-terminal His-tagged HDAC2 using fluorogenic acetylated peptide as substrate incubated for 30 mins by fluorescence plate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,TIME = 0.5 hr,INHIBITOR,,91
CHEMBL4854659,,None,517.59,1,4.66,12k,COc1cc2nc(-c3ccc(C)o3)cc(NCC3CCN(c4ccc(C(=O)NO)cn4)CC3)c2cc1OC,IC50,,,,,,Not Determined,,,,,,0,CHEMBL4835057,Inhibition of full length human C-terminal His-tagged HDAC2 using fluorogenic acetylated peptide as substrate incubated for 30 mins by fluorescence plate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4834403,1,Scientific Literature,J Med Chem,2021,None,TIME = 0.5 hr,,,
CHEMBL4436787,,None,533.68,2,5.9,1,CCC(=O)CCCN1CCN(C(=O)Cc2c[nH]c3ccccc23)C(c2ncc(-c3ccc4ccccc4c3)[nH]2)C1,IC50,'>',25000,nM,,,,UO_0000065,,,,,0,CHEMBL4329589,Inhibition of human HDAC2,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4325912,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,,,25
CHEMBL4476731,,None,254.77,0,2.79,4r,S=C1Sc2ccc(Cl)cc2C2=NCCN12,IC50,'>',50000,nM,,,,UO_0000065,,,,,0,CHEMBL4409763,Inhibition of recombinant human full length C-terminal His-tagged HDAC2 expressed in baculovirus infected Sf9 cells using Boc-Lys(Ac)-AMC as substrate incubated for 1 hr by fluorescence based assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,,,,CHEMBL1937,Histone deacetylase 2,Homo sapiens,SINGLE PROTEIN,CHEMBL4406872,1,Scientific Literature,Eur J Med Chem,2019,CHEMBL3308860,,,,50
